title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",RKO Radio Pictures,RKO Radio Pictures,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Oskar Homolka,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2026-02-20T16:44:43.000,Nob Hill,-122.4100923,2026-02-20T16:37:46.000,37.7923883
"Murder in the First, Season 2",2015,901 Missouri Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3955818 37.7548219),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3955818,2026-02-20T16:37:46.000,37.7548219
Boys and Girls,2000,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4048082 37.7944675),3,2026-02-20T16:44:43.000,Chinatown,-122.4048082,2026-02-20T16:37:46.000,37.7944675
"Smile Again, Jenny Lee",2015,883 42nd Ave.,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.5027384 37.7720857),1,2026-02-20T16:44:43.000,Outer Richmond,-122.5027384,2026-02-20T16:37:46.000,37.7720857
Ant-Man and the Wasp: Quantumania,2023,601 Buena Vista West,,Pym Particles Production III LLC,Walt Disney Studios Motion Pictures,Peyton Reed,Jeff Loveness,Paul Rudd,Evangeline Lilly,Jonathan Majors,CA,San Francisco,POINT (-122.443956 37.7669343),8,2026-02-20T16:44:43.000,Haight Ashbury,-122.443956,2026-02-20T16:37:46.000,37.7669343
Chance- Season 1 ep102,2016,"Sutter Stockton Garage, 444 Stockton",,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4066034 37.7901055),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4066034,2026-02-20T16:37:46.000,37.7901055
Chance - Season 1ep105,2016,Private alley along 20th St. between Tennessee and Minnesota,,TVM Productions,HULU,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.3901793 37.7573664),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3901793,2026-02-20T16:37:46.000,37.7573664
About a Boy,2014,Crissy Field,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,,CA,San Francisco,POINT (-122.4650165 37.8040257),2,2026-02-20T16:44:43.000,Presidio,-122.4650165,2026-02-20T16:37:46.000,37.8040257
Big Eyes,2014,1101 Filbert St.,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,CA,San Francisco,POINT (-122.4177694 37.8001879),3,2026-02-20T16:44:43.000,Russian Hill,-122.4177694,2026-02-20T16:37:46.000,37.8001879
The OA Part II,2019,Ada Court at O'Farrell St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4157025 37.785466),5,2026-02-20T16:44:43.000,Tenderloin,-122.4157025,2026-02-20T16:37:46.000,37.785466
Time After Time,1979,Intersection of Fulton & 6th Streets (Chinatown),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,CA,San Francisco,POINT (-122.4686755 37.771469),7,2026-02-20T16:44:43.000,Golden Gate Park,-122.4686755,2026-02-20T16:37:46.000,37.771469
Summertime,2015,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_,,"Creative Monster Productions, Inc.",6 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.4783452 37.7764605),1,2026-02-20T16:44:43.000,Outer Richmond,-122.4783452,2026-02-20T16:37:46.000,37.7764605
Knife Fight,2013,Green & Laguna Streets,,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,CA,San Francisco,POINT (-122.439016 37.8066961),2,2026-02-20T16:44:43.000,Marina,-122.439016,2026-02-20T16:37:46.000,37.8066961
Sudden Fear,1952,2800 Scott Street,,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,CA,San Francisco,POINT (-122.4400341 37.7957588),2,2026-02-20T16:44:43.000,Marina,-122.4400341,2026-02-20T16:37:46.000,37.7957588
Homeward Bound II: Lost in San Francisco,1996,Pier 39 (Fisherman's Wharf),,Walt Disney Pictures,Buena Vista Pictures,David R. Ellis,Sheila Burnford,Michael J. Fox,Sally Field,,CA,San Francisco,POINT (-122.409821 37.808673),3,2026-02-20T16:44:43.000,North Beach,-122.409821,2026-02-20T16:37:46.000,37.808673
180,2011,City Hall,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,CA,San Francisco,POINT (-122.4192417 37.779275),5,2026-02-20T16:44:43.000,Tenderloin,-122.4192417,2026-02-20T16:37:46.000,37.779275
Americana,2015,Roxie Theater (3117 16th St.),,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,CA,San Francisco,POINT (-122.422429 37.764658),9,2026-02-20T16:44:43.000,Mission,-122.422429,2026-02-20T16:37:46.000,37.764658
The OA Part II,2019,Duncan St at Diamond Heights,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4434259 37.7466075),8,2026-02-20T16:44:43.000,Noe Valley,-122.4434259,2026-02-20T16:37:46.000,37.7466075
The Diary of a Teenage Girl,2015,The Royal Oak,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.4221877 37.7970285),3,2026-02-20T16:44:43.000,Russian Hill,-122.4221877,2026-02-20T16:37:46.000,37.7970285
Etruscan Smile,2017,"Andronico's, 1200 Irving Street",,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.471173 37.7641418),7,2026-02-20T16:44:43.000,Inner Sunset,-122.471173,2026-02-20T16:37:46.000,37.7641418
Sense8,2015,Harrison,Driving shots,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.4089604 37.7734395),6,2026-02-20T16:44:43.000,South of Market,-122.4089604,2026-02-20T16:37:46.000,37.7734395
The Phone/Jexi,2019,California btwn Taylor and Drumm - Cable Car Line,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4123016 37.79176),3,2026-02-20T16:44:43.000,Nob Hill,-122.4123016,2026-02-20T16:37:46.000,37.79176
Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4102081 37.7904395),3,2026-02-20T16:44:43.000,Nob Hill,-122.4102081,2026-02-20T16:37:46.000,37.7904395
The Enforcer,1976,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,CA,San Francisco,POINT (-122.4192417 37.779275),5,2026-02-20T16:44:43.000,Tenderloin,-122.4192417,2026-02-20T16:37:46.000,37.779275
The OA Part II,2019,1101 Green St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.4174152 37.7982681),3,2026-02-20T16:44:43.000,Russian Hill,-122.4174152,2026-02-20T16:37:46.000,37.7982681
Blindspotting (Season 2),2023,"Coqueta at Pier 7, San Francisco",,Blindspotting Productions Inc.,Starz,"Rafael Casal, Jess Wu Calder,","Brittany Miller, Benjamin Earl Turner, Rafael Casal & Daveed Diggs, Sarah LaBrie, Obehi Janice, Sanjay Shah, Nyesha Littlejohn & Susan Park",Jasmine Cephas Jones,Jaylen Barron,Rafael Casal,CA,San Francisco,POINT (-122.3966387 37.7985824),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3966387,2026-02-20T16:37:46.000,37.7985824
Always Be My Maybe,2019,Heart of the City Farmers Market at UN Plaza,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4164777 37.7794964),5,2026-02-20T16:44:43.000,Tenderloin,-122.4164777,2026-02-20T16:37:46.000,37.7794964
Chance Season 2,2017,Lombard St between Leavenworth and Hyde St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4206418 37.8021564),3,2026-02-20T16:44:43.000,Russian Hill,-122.4206418,2026-02-20T16:37:46.000,37.8021564
Summertime,2015,Oasis Nightclub (298 11th St),,"Creative Monster Productions, Inc.",2 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.4144155 37.7718948),6,2026-02-20T16:44:43.000,Mission,-122.4144155,2026-02-20T16:37:46.000,37.7718948
Dirty Harry,1971,Dante Building (1606 Stockton Street at Union),,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4089366 37.8006264),3,2026-02-20T16:44:43.000,North Beach,-122.4089366,2026-02-20T16:37:46.000,37.8006264
Nash Bridges,2021,California Street at Powell,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.4091939 37.7920536),3,2026-02-20T16:44:43.000,Nob Hill,-122.4091939,2026-02-20T16:37:46.000,37.7920536
Tales of the City,2019,Macondray Ln and Taylor btwn Union and Green,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4156925 37.7991835),3,2026-02-20T16:44:43.000,Russian Hill,-122.4156925,2026-02-20T16:37:46.000,37.7991835
The Phone/Jexi,2019,Embarcadero btwn Rincon Park and Pier 23,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.4008661 37.8033934),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4008661,2026-02-20T16:37:46.000,37.8033934
Chance- Season 1 ep104,2016,15th St. between Vermont and Kansas,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4314 37.76569),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.4314,2026-02-20T16:37:46.000,37.76569
Sweet November,2001,Farley's Café (1315 18th Street Near Missouri),,Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,CA,San Francisco,POINT (-122.3959956 37.7624718),10,2026-02-20T16:44:43.000,Potrero Hill,-122.3959956,2026-02-20T16:37:46.000,37.7624718
Surface,2022,Market Street at 4th Street,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.405882 37.7857404),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.405882,2026-02-20T16:37:46.000,37.7857404
Etruscan Smile,2017,Pier 14 San Francisco,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.3908828 37.7938381),,2026-02-20T16:44:43.000,,-122.3908828,2026-02-20T16:37:46.000,37.7938381
Surface,2022,Fremont Street between 1st Street and 2nd vStreet,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,,,2026-02-20T16:44:43.000,,,2026-02-20T16:37:46.000,
The Wedding Planner,2001,Montgomery Street at Union Street,,Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,CA,San Francisco,POINT (-122.4044922 37.8010458),3,2026-02-20T16:44:43.000,North Beach,-122.4044922,2026-02-20T16:37:46.000,37.8010458
The Rock,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,CA,San Francisco,POINT (-122.4100923 37.7923883),3,2026-02-20T16:44:43.000,Nob Hill,-122.4100923,2026-02-20T16:37:46.000,37.7923883
High Anxiety,1977,Hyatt Regency Hotel (5 Embarcadero Center),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman,CA,San Francisco,POINT (-122.3956663 37.7942169),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3956663,2026-02-20T16:37:46.000,37.7942169
Milk,2008,29th and Dolores Street,,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,CA,San Francisco,POINT (-122.4246468 37.7437303),8,2026-02-20T16:44:43.000,Noe Valley,-122.4246468,2026-02-20T16:37:46.000,37.7437303
Chance Season 2,2017,Columbus between Filbert and Lombard St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.41375 37.80264),3,2026-02-20T16:44:43.000,Russian Hill,-122.41375,2026-02-20T16:37:46.000,37.80264
Venom,2018,Financial District,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.3964729 37.7936658),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3964729,2026-02-20T16:37:46.000,37.7936658
Red Widow,2013,Geary & 20th Ave,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,CA,San Francisco,POINT (-122.4794088 37.7804328),1,2026-02-20T16:44:43.000,Outer Richmond,-122.4794088,2026-02-20T16:37:46.000,37.7804328
Goliath- Season 4,2021,Union at Jasper Place,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.4083888 37.8005521),3,2026-02-20T16:44:43.000,North Beach,-122.4083888,2026-02-20T16:37:46.000,37.8005521
Edtv,1999,North Beach Video (1398 Grant Avenue at Green),The video store has since moved to an adjacent location.,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,CA,San Francisco,POINT (-122.407305 37.799607),3,2026-02-20T16:44:43.000,North Beach,-122.407305,2026-02-20T16:37:46.000,37.799607
Doctor Dolittle,1998,Telegraph Hill Blvd (Telegraph Hill),,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,CA,San Francisco,POINT (-122.4060487 37.8027862),3,2026-02-20T16:44:43.000,North Beach,-122.4060487,2026-02-20T16:37:46.000,37.8027862
Twisted,2004,Pier 24,,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,CA,San Francisco,POINT (-122.3877404 37.7894312),6,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3877404,2026-02-20T16:37:46.000,37.7894312
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,CA,San Francisco,POINT (-122.4155073 37.8083487),3,2026-02-20T16:44:43.000,North Beach,-122.4155073,2026-02-20T16:37:46.000,37.8083487
Parks and Recreation,2014,Embarcadero & Market,,"NBC Universal Media, LLC","NBC Universal Media, LLC",Dean Holland,Greg Daniels,Amy Poehler,,,CA,San Francisco,POINT (-122.4212203 37.7735081),6,2026-02-20T16:44:43.000,Mission,-122.4212203,2026-02-20T16:37:46.000,37.7735081
Boys and Girls,2000,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.4058222 37.8023949),3,2026-02-20T16:44:43.000,North Beach,-122.4058222,2026-02-20T16:37:46.000,37.8023949
Time After Time,1979,Hyatt Regency Hotel (5 Embarcadero Center),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.3956663 37.7942169),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3956663,2026-02-20T16:37:46.000,37.7942169
Bullitt,1968,Marina Green (Marina District),"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.",Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.439016 37.8066961),2,2026-02-20T16:44:43.000,Marina,-122.439016,2026-02-20T16:37:46.000,37.8066961
Ballers Season 3,2017,California and Jones St.,,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,CA,San Francisco,POINT (-122.4141357 37.7914291),3,2026-02-20T16:44:43.000,Nob Hill,-122.4141357,2026-02-20T16:37:46.000,37.7914291
DEVS,2020,Judah at 9th Ave,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.4662089 37.7622509),7,2026-02-20T16:44:43.000,Inner Sunset,-122.4662089,2026-02-20T16:37:46.000,37.7622509
What's Up Doc?,1972,Lombard Street between Hyde and Leavenworth,,Warner Bros. Pictures,Warner Bros. Pictures,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,,CA,San Francisco,POINT (-122.4077009 37.7847118),3,2026-02-20T16:44:43.000,Tenderloin,-122.4077009,2026-02-20T16:37:46.000,37.7847118
Etruscan Smile,2017,Mason Street @ Vallejo,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4121241 37.7981774),3,2026-02-20T16:44:43.000,Nob Hill,-122.4121241,2026-02-20T16:37:46.000,37.7981774
"Smile Again, Jenny Lee",2015,333 Pacheco St at Lopez Ave.,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.4628456 37.7481096),7,2026-02-20T16:44:43.000,West of Twin Peaks,-122.4628456,2026-02-20T16:37:46.000,37.7481096
Twisted,2004,"McCovey Point, China Basin Park (24 Willy Mays Plaza)",,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,CA,San Francisco,POINT (-122.3887656 37.7764036),6,2026-02-20T16:44:43.000,Mission Bay,-122.3887656,2026-02-20T16:37:46.000,37.7764036
Pushing Dead,2016,Koshland Park,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4267984 37.7732968),5,2026-02-20T16:44:43.000,Hayes Valley,-122.4267984,2026-02-20T16:37:46.000,37.7732968
Dirty Harry,1971,Holiday Inn Select Downtown Hotel (750 Kearney Street),,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.4042071 37.7951279),3,2026-02-20T16:44:43.000,Chinatown,-122.4042071,2026-02-20T16:37:46.000,37.7951279
Chance Season 2,2017,Lombard St between Hyde and Larkin St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.4210043 37.8043856),2,2026-02-20T16:44:43.000,Russian Hill,-122.4210043,2026-02-20T16:37:46.000,37.8043856
The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)",In the film the City of Paris Department Store is featured. That establishment was located where Neiman Marcus stands today,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,CA,San Francisco,POINT (-122.4061984 37.7873324),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.4061984,2026-02-20T16:37:46.000,37.7873324
DEVS,2020,Pier 7,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.3956409 37.7993521),3,2026-02-20T16:44:43.000,Financial District/South Beach,-122.3956409,2026-02-20T16:37:46.000,37.7993521
Looking Season 2 ep 205,2015,534 Hyde Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4161084 37.7859698),5,2026-02-20T16:44:43.000,Tenderloin,-122.4161084,2026-02-20T16:37:46.000,37.7859698
Dreams,2025,"Beretta Valencia Restaunt , 1199 Valencia St.",,Suenos Productions LLC,The Match Factory GmbH,Michel Franco,Michel Franco,Jessica Chastain,Isaac Hernández,Marshall Bell,CA,San Francisco,POINT (-122.4206327 37.7538556),9,2026-02-20T16:44:43.000,Mission,-122.4206327,2026-02-20T16:37:46.000,37.7538556
Vertigo,1958,"California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park)","Built in 1924, the Legion of Honor is a 3/4 replica of the Parisian Palais de la Legion d'Honneur.",Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,CA,San Francisco,POINT (-122.5008419 37.7844661),1,2026-02-20T16:44:43.000,Lincoln Park,-122.5008419,2026-02-20T16:37:46.000,37.7844661
So I Married an Axe Murderer,1993,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,CA,San Francisco,POINT (-122.4230122 37.8266636),,2026-02-20T16:44:43.000,,-122.4230122,2026-02-20T16:37:46.000,37.8266636
Outerlands,2025,20th St. between Harrison and Treat,,"Vajra Films, LLC",Wolfe Video,Elena Oxman,Elena Oxman,Asia Kate Dillon,Louisa Krause,Ridley Asha Bateman,CA,San Francisco,POINT (-122.42792 37.75826),8,2026-02-20T16:44:43.000,Castro/Upper Market,-122.42792,2026-02-20T16:37:46.000,37.75826
Etruscan Smile,2017,Treasure Island,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.3699786 37.825284),6,2026-02-20T16:44:43.000,Treasure Island,-122.3699786,2026-02-20T16:37:46.000,37.825284
Shit and Champagne,2020,Gerke Alley at Grant,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.4079226 37.8022093),3,2026-02-20T16:44:43.000,North Beach,-122.4079226,2026-02-20T16:37:46.000,37.8022093
Time After Time,1979,Broadway at Osgood Street (North Beach),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.4030932 37.7983271),3,2026-02-20T16:44:43.000,North Beach,-122.4030932,2026-02-20T16:37:46.000,37.7983271
Always Be My Maybe,2019,de Young Museum/Golden Gate Park,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.4686755 37.771469),7,2026-02-20T16:44:43.000,Golden Gate Park,-122.4686755,2026-02-20T16:37:46.000,37.771469
